ID,Rating,Review
1,1,"An item was missing from my order. I reported it immediately through the help center, but no action was taken. After escalating via email, my refund was denied. Very poor complaint handling and customer support."
2,1,"Waited over 60 minutes for an order that originally showed 21 minutes. Platform pushes Gold membership while delivery is delayed."
3,1,"The AI response system does not understand issues. Fast delivery option never arrives on time and nobody takes responsibility."
4,1,"Food was not delivered on the train despite order confirmation. Poor coordination, lack of communication, and waste of time."
5,1,"Order was cancelled after waiting more than half an hour. AI support bot had no suitable option and no human chat was available."
6,1,"Customer support failed to resolve a missing item complaint even after submitting photos and waiting 24 hours."
7,1,"Premium prices with packaging charges but poor packaging, incomplete orders, and unhelpful customer support."
8,3,"Live tracking showed the delivery partner was next to my door, but the order arrived about 10 minutes later."
9,3,"Platform fees, GST, packing charges, delivery fees, and fewer coupons have made orders expensive."
10,2,"The review popup appears every time the app opens. During delays, only AI responses are provided instead of useful resolutions."
11,2,"Prices are increasing and are often ₹100–₹200 higher than ordering directly from restaurants."
12,2,"Arrival time remained stuck at 4 minutes for a long time, giving false hope about delivery."
13,1,"Same food item is shown at a much higher price compared to another user's account."
14,1,"Food delivered looked very different from the pictures, and the delivery partner failed to return change."
15,3,"Restaurant photos and reviews are no longer visible. Delivery time has increased while ETA remains misleading."
16,2,"Food prices are much higher than Swiggy and restaurant menu prices."
17,1,"Simple orders take around 40 minutes because delivery partners handle multiple orders."
18,5,"Easy-to-use app with good restaurant ratings, reviews, and reliable food delivery."
19,5,"Convenient app with an easy interface, many restaurant options, and usually on-time deliveries."
20,5,"Order was delivered quickly and almost at the promised time. One previous packaging issue was resolved."
21,4,"Food quality was decent, delivery was on time, and packaging was neat, but food arrived slightly cold."
22,4,"Convenient app with many restaurants and accurate delivery tracking. Prices are sometimes higher and customer support can be slow."
23,5,"Easy, efficient, and timely app. Cash on delivery helped when an international card was rejected."
